experiment_id,git_commit,seed,config,trainable_params,GPU_hours,method,benchmark_regime,rounds,accuracy,AUROC,loss,inference_calls,notes
phase2-v3-llm_only-A-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,llm_only,A,0,1.0,1.0,0.206659,480,exploratory mean across three held-out test seeds
phase2-v3-tabicl_only-A-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,tabicl_only,A,0,0.645833,0.717292,0.626959,60,exploratory mean across three held-out test seeds
phase2-v3-prediction_ensemble-A-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,prediction_ensemble,A,0,0.9375,0.991823,0.449032,540,exploratory mean across three held-out test seeds
phase2-v3-llm_to_tfm-A-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,599557,,llm_to_tfm,A,0,0.489583,0.487474,1.501511,60,exploratory mean across three held-out test seeds
phase2-v3-tfm_to_llm-A-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,863873,,tfm_to_llm,A,0,0.629167,0.700625,0.669729,180,exploratory mean across three held-out test seeds
phase2-v3-textual_tool-A-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,textual_tool,A,0,0.51875,0.529974,0.692819,540,exploratory mean across three held-out test seeds
phase2-v3-llm_to_tfm_compute_matched-A-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,599557,,llm_to_tfm_compute_matched,A,0,0.6375,0.791094,0.487812,180,exploratory mean across three held-out test seeds
phase2-v3-llm_only-B-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,llm_only,B,0,0.5125,0.530702,0.92576,480,exploratory mean across three held-out test seeds
phase2-v3-tabicl_only-B-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,tabicl_only,B,0,0.929167,0.981363,0.168829,60,exploratory mean across three held-out test seeds
phase2-v3-prediction_ensemble-B-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,prediction_ensemble,B,0,0.929167,0.967365,0.315881,540,exploratory mean across three held-out test seeds
phase2-v3-llm_to_tfm-B-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,599557,,llm_to_tfm,B,0,0.929167,0.981363,0.168829,60,exploratory mean across three held-out test seeds
phase2-v3-tfm_to_llm-B-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,863873,,tfm_to_llm,B,0,0.929167,0.975579,0.239048,180,exploratory mean across three held-out test seeds
phase2-v3-textual_tool-B-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,textual_tool,B,0,0.479167,0.719877,0.711521,540,exploratory mean across three held-out test seeds
phase2-v3-llm_to_tfm_compute_matched-B-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,599557,,llm_to_tfm_compute_matched,B,0,0.929167,0.981468,0.169254,180,exploratory mean across three held-out test seeds
phase2-v3-llm_only-C-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,llm_only,C,0,0.520833,0.501309,1.365906,480,exploratory mean across three held-out test seeds
phase2-v3-tabicl_only-C-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,tabicl_only,C,0,0.58125,0.587305,0.822256,60,exploratory mean across three held-out test seeds
phase2-v3-prediction_ensemble-C-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,prediction_ensemble,C,0,0.56875,0.58274,0.77382,540,exploratory mean across three held-out test seeds
phase2-v3-llm_to_tfm-C-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,599557,,llm_to_tfm,C,0,0.870833,0.929284,0.340019,60,exploratory mean across three held-out test seeds
phase2-v3-tfm_to_llm-C-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,863873,,tfm_to_llm,C,0,0.55,0.560663,0.695172,180,exploratory mean across three held-out test seeds
phase2-v3-textual_tool-C-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,0,,textual_tool,C,0,0.5125,0.523523,0.692826,540,exploratory mean across three held-out test seeds
phase2-v3-llm_to_tfm_compute_matched-C-aggregate,74ac0ca,2701|2702|2703,crossfm-phase2-baselines-exploratory-v3-memory-safe-likelihood,599557,,llm_to_tfm_compute_matched,C,0,0.870833,0.928997,0.338985,180,exploratory mean across three held-out test seeds
